author,journal,doi,title,institution,place_inst,number/vol/measure,web,year,type,type_detail
Antarctic Treaty Consultative Meeting,,,"Management plan for Antarctic Specially Protected Area No.\ 113: Litchfield Island, Arthur Harbor Anvers Island, Palmer Archipelago",{Antarctic Treaty System},"Baltimore, United States",{Measure 4},http://www.ats.aq/documents/recatt/att422_e.pdf,2009,report,{Final Report of the Thirty-second Antarctic Treaty Consultative Meeting}
Antarctic Treaty Consultative Meeting,,,"Management plan for Antarctic Specially Protected Area No.\ 150: Ardley Island, Maxwell Bay, King George Island (25 De Mayo)",{Antarctic Treaty System},"Baltimore, United States",{Measure 9},http://www.ats.aq/documents/recatt/Att427_e.pdf,2009,report,{Final Report of the Thirty-second Antarctic Treaty Consultative Meeting}
"Christine Müller-Schwarze ""Dietland Müller-Schwarze""",{The biology of penguins},978-0333167915,A survey of twenty-four rookeries of pygoscelid penguins in the Antarctic Peninsula region,,"Baltimore, United States",,,1975,book chapter,
"Hans-Ulrich Peter ""Martin Kaiser"" ""Axel Gebauer""","Nationalkomitee für Geodäsie und Geophysik bei der Akad.\ der Wiss.\ der DDR series [1] ""Geodätische und Geophysikalische Veröffentlichungen: 1""",,"Untersuchungen an vögeln und robben auf King George Island: (South Shetland Islands, Antarktis)",,"Berlin, Germany",,,1988,book,
"Wayne Z. Trivelpiece ""S. G. Trivelpiece"" ""G. R. Geupal"" ""J. Kjelmyr"" ""N. J. Volkman""","{Antarctic ecosystems. Ecologic change and conservation} editor [1] ""K. R. Kerry"" ""G. Hempel""",10/978-3-642-84074-6,"Adélie and chinstrap penguins: Their potential as monitors of the southern ocean marine ecosystem""",,"Berlin, Germany",,,1990,book chapter,
Antarctic Treaty Consultative Meeting,,,Final Report of the Thirty-seventh Antarctic Treaty Consultative Meeting,{Antarctic Treaty System},"Brasilia, Brasil",{Measure 11},http://www.ats.aq/documents/recatt/att551_e.pdf,2014,report,{Final Report of the Thirty-seventh Antarctic Treaty Consultative Meeting}
Antarctic Treaty Consultative Meeting,,,Final Report of the Thirty-seventh Antarctic Treaty Consultative Meeting,{Antarctic Treaty System},"Brasilia, Brasil",{Measure 6},http://www.ats.aq/documents/recatt/att546_e.pdf,2014,report,{Final Report of the Thirty-seventh Antarctic Treaty Consultative Meeting}
Eric J. Woehler,Scientific Committee on Antarctic Research (SCAR),,The distribution and abundance of Antarctic and Subantarctic penguins,,"Cambridge, United Kingdom",,,1993,book,
G. Wilson,"Scientific Committee on Antarctic Research (SCAR) series [1] ""{BIOMASS Scientific Series}""",,Distribution and abundance of Antarctic and sub-Antarctic penguins: A synthesis of current knowledge,,"Cambridge, United Kingdom",,,1983,book,
"J. P. Croxall ""E. D. Kirkwood"" isbn [1] ""0856650714""",British Antarctic Survey,,The distribution of penguins on the Antarctic Peninsula and islands of the Scotia Sea,,"Cambridge, United Kingdom",,,1979,book,
"""Philip N. Trathan"" ""F. H. J. Daunt"" ""E. J. Murphy""",British Antarctic Survey,,South Georgia: An ecological atlas,,"Cambridge, United Kingdom",,,1996,book,
Antarctic Treaty Consultative Meeting,,,Final Report of the Forty-fifth Antarctic Treaty Consultative Meeting,{Antarctic Treaty System},"Helsinki, Finland",{Measure 12},https://www.ats.aq/devAS/Meetings/Measure/792,2023,report,{Final Report of the Forty-fifth Antarctic Treaty Consultative Meeting}
Antarctic Treaty Consultative Meeting,,,Final Report of the Forty-fifth Antarctic Treaty Consultative Meeting,{Antarctic Treaty System},"Helsinki, Finland",{Measure 14},https://www.ats.aq/devAS/Meetings/Measure/794,2023,report,{Final Report of the Forty-fifth Antarctic Treaty Consultative Meeting}
Antarctic Treaty Consultative Meeting,,,Final Report of the Forty-fifth Antarctic Treaty Consultative Meeting,{Antarctic Treaty System},"Helsinki, Finland",{Measure 16},https://www.ats.aq/devAS/Meetings/Measure/796,2023,report,{Final Report of the Forty-fifth Antarctic Treaty Consultative Meeting}
