"title","abstract","publication_year","doi","type","oa_url","author","keyword","concept","pdf_url","cited_by_count","id"
"Geographical distribution and abundance of postlarval and juvenile Pleuragramma antarcticum (Pisces, Notothenioidei) off the Antarctic Peninsula",NA,1986,"https://doi.org/10.1007/bf00258262","article",NA,"A. Kellermann","Biology; Juvenile; Fauna; Pelagic zone; Water column; Abundance (ecology); Peninsula; Continental shelf; Oceanography; Fishery; Ecology; Geology","Biology; Juvenile; Fauna; Pelagic zone; Water column; Abundance (ecology); Peninsula; Continental shelf",NA,59,1
"Ecology of inshore notothenioid fish from the Danco Coast, Antarctic Peninsula",NA,2003,"https://doi.org/10.1007/s00300-002-0463-y","article","http://sedici.unlp.edu.ar/handle/10915/139233","Ricardo Casaux; Esteban Barrera-Oro; Andrea Baroni; A. Ramón","Shetland; Biology; Peninsula; Moss; Fishery; Fish <Actinopterygii>; Ecology; Population; Oceanography","Shetland; Biology; Peninsula; Moss; Fishery; Fish <Actinopterygii>; Ecology",NA,64,2
"Interannual variability in the feeding of ice fish (Notothenioidei, Channichthyidae) in the southern Scotia Arc and the Antarctic Peninsula region (CCAMLR Subareas 48.1 and 48.2)",NA,2013,"https://doi.org/10.1007/s00300-013-1363-z","article",NA,"Karl‐Hermann Kock; Joachim Paul Gröger; Chris Jones","Shetland; Euphausia; Antarctic krill; Biology; Krill; Demersal zone; Fishery; Peninsula; Demersal fish; Oceanography; Crustacean; Haddock; Fish <Actinopterygii>; Ecology","Shetland; Euphausia; Antarctic krill; Biology; Krill; Demersal zone; Fishery; Peninsula",NA,22,3
"Food and feeding ecology of postlarval and juvenile Pleuragramma antarcticum (Pisces; Notothenioidei) in the seasonal pack ice zone off the Antarctic peninsula",NA,1987,"https://doi.org/10.1007/bf00443949","article",NA,"A. Kellermann","Biology; Euphausia; Krill; Antarctic krill; Zooplankton; Predation; Juvenile; Ecology; Copepod; Juvenile fish; Gadidae; Fishery; Crustacean; Fish <Actinopterygii>; Gadus; Atlantic cod","Biology; Euphausia; Krill; Antarctic krill; Zooplankton; Predation; Juvenile; Ecology; Copepod",NA,62,4
"Changing status of three notothenioid fish at the South Shetland Islands (1983–2016) after impacts of the 1970–80s commercial fishery",NA,2017,"https://doi.org/10.1007/s00300-017-2125-0","article","https://link.springer.com/content/pdf/10.1007/s00300-017-2125-0.pdf","Esteban Barrera-Oro; Enrique R. Marschoff; David G. Ainley","Shetland; Biology; Cove; Fishery; Fishing; Trophic level; Abundance (ecology); Ecology; Oceanography; Geography","Shetland; Biology; Cove; Fishery; Fishing; Trophic level; Abundance (ecology)","https://link.springer.com/content/pdf/10.1007/s00300-017-2125-0.pdf",30,5
"Buoyancy studies of three morphs of the Antarctic fish Trematomus newnesi (Nototheniidae) from the South Shetland Islands",NA,2010,"https://doi.org/10.1007/s00300-009-0760-9","article","http://hdl.handle.net/11336/53528","Joseph T. Eastman; Esteban Barrera-Oro","Biology; Ecology; Zoology; Benthic zone; Phenotypic plasticity; Intertidal zone; Trophic level; Energetics","Biology; Ecology; Zoology",NA,15,6
"Dietary overlap in inshore notothenioid fish from the Danco Coast, western Antarctic Peninsula","We carried out a dietary overlap analysis between notothenioid species by examining the stomach contents of more than 900 specimens collected in a fish assemblage at the Danco Coast, western Antarctic Peninsula, in the summer of 2000. Prey reoccurrences among fish species were 32.2%, with krill Euphausia superba, salps and the gammaridean Prostebeingia longicornis the most reoccurring prey. The diet similarity between species pairs was lower than 55%, in accordance with similar fish assemblages in the South Orkney Islands, the South Shetland Islands and the Antarctic Peninsula. Whereas at those localities the higher prey overlap was between krill-feeding fish species, at the Danco Coast it was between Trematomus bernacchii and Lepidonotothen nudifrons, Notothenia coriiceps and Notothenia rossii, Notothenia coriiceps and Parachaenichthyis charcoti, and Trematomus newnesi and Notothenia rossii, which shared primarily gammaridean amphipods, algae, fish and krill, respectively. Krill is normally the main prey of fish in summer in inshore waters of the western Antarctic Peninsula, but its density in January/February 2000 was notably lower than in previous years. Therefore, at the Danco Coast, under conditions of krill shortage, most of the notothenioid species foraged more intensively on alternative prey, such as gammarideans, fish and algae. The difference between areas in the pattern of dietary overlap might be related to differences in prey availability between years and to the degree of competition for targeted prey.Keywords:Fish dietary overlap; notothenioid fish; Antarctic Peninsula. (Published: 17 October 2013)Citation: Polar Research 2013, 32, 21319, http://dx.doi.org/10.3402/polar.v32i0.21319",2013,"https://doi.org/10.3402/polar.v32i0.21319","article","https://polarresearch.net/index.php/polar/article/download/3090/pdf_1","Ricardo Casaux; Esteban Barrera-Oro","Euphausia; Krill; Antarctic krill; Shetland; Biology; Predation; Peninsula; Fishery; Ecology; Zoology; Oceanography","Euphausia; Krill; Antarctic krill; Shetland; Biology; Predation; Peninsula; Fishery","https://polarresearch.net/index.php/polar/article/download/3090/pdf_1",23,7
"Spatial distribution and population structure of juvenile Antarctic toothfish (Dissostichus mawsoni) in the South Shetland Islands",NA,2019,"https://doi.org/10.1007/s00300-019-02602-4","article",NA,"Mario La Mesa; Emilio Riginella; Chris Jones","Shetland; Biology; Juvenile; Population; Zoology; Fishery; Ecology; Oceanography; Demography","Shetland; Biology; Juvenile",NA,5,8
"Changes in acanthocephalan infection of the Antarctic fish Notothenia coriiceps in Admiralty Bay, King George Island, over 29 years","Changes in acanthocephalan infection of the Antarctic fish Notothenia coriiceps in Admiralty Bay, King George Island, over 29 years A comparison between the levels of infection with Acanthocephala of the fish Notothenia coriiceps in Admiralty Bay (South Shetland Islands, Antarctic) in 1978/79 and 2007/08 is presented. The same eight acanthocephalan species, three echinorhynchids maturing in fish, Aspersentis megarhynchus (dominant species), Metacanthocephalus johnstoni (subdominant species) and M. dalmori (common species), and five polymorphids maturing in mammals and birds, Corynosoma hamanni, C. pseudohamanni (both co-dominant species), C. arctocephali and C. bullosum (both common species), and C. shackletoni (rare species), were found. Echinorhynchids were more numerous in 2007/08 (mean abundance 46.54 versus 35.35 in 1978/79), whereas polymorphids more numerous in 1978/79 (mean abundance 74.35 versus 36.40 in 2007/08). The overall results therefore demonstrated that echinorhynchids were more numerous than polymorphids in 2007/08 and the reverse was true in 1978/79. This situation is dependent mainly upon the decreased infections with C. hamanni, C. pseudohamanni and C. bullosum , and to a lesser degree upon the increasing of infections with M. johnstoni. The decrease of the three Corynosoma spp. is possibly associated with the decreasing of populations of final hosts, seals, on the shore of Admiralty Bay in the vicinity of Arctowski Station.",2012,"https://doi.org/10.2478/v10183-012-0005-4","article","https://doi.org/10.2478/v10183-012-0005-4","Zdzisław Laskowski; Małgorzata Korczak−Abshire; K. Zdzitowiecki","Shetland; Bay; Biology; Acanthocephala; Abundance (ecology); Fish <Actinopterygii>; Ecology; Fishery; Zoology; Host (biology); Geography; Archaeology","Shetland; Bay; Biology; Acanthocephala; Abundance (ecology); Fish <Actinopterygii>",NA,16,9
"Comparative populational study of Lepidonotothen larseni and L. nudifrons (Teleostei: Nototheniidae) from the Antarctic Peninsula and the South Shetland Islands, Antarctica",NA,2019,"https://doi.org/10.1007/s00300-019-02540-1","article","http://doi.org/10.1007/s00300-019-02540-1","M. Y. Deli Antoni; Sergio M. Delpiani; Mariano González‐Castro; Gabriela E. Blasina; M. C. Spath; Gabriela E. Depiani; Fernando Yuldi Ashikaga; Vanessa Paes da Cruz; Claudio Oliveira; Juan M. Dı́az de Astarloa","Shetland; Biology; Peninsula; Biological dispersal; Population; Archipelago; Ecology; Disjunct; Bay; Oceanography; Demography","Shetland; Biology; Peninsula; Biological dispersal; Population; Archipelago; Ecology",NA,9,10
