title,abstract,publication_year,doi,type,oa_url,author,concept,topic,subfield,pdf_url,cited_by_count,id
"Variations in the biomass of Antarctic krill (Euphausia superba) around the South Shetland Islands, 1996–2006","Abstract Reiss, C. S., Cossio, A. M., Loeb, V., and Demer, D. A. 2008. Variations in the biomass of Antarctic krill (Euphausia superba) around the South Shetland Islands, 1996–2006. – ICES Journal of Marine Science, 65: 497–508. The time-series of acoustically surveyed Antarctic krill (Euphausia superba) biomass near the South Shetland Islands (SSI) between 1996 and 2006 is re-estimated using a validated physics-based model of target strength (TS), and a species-discrimination algorithm based on the length-range of krill in plankton samples to identify krill acoustically, derived from TS-model predictions. The SSI area is surveyed each austral summer by the US Antarctic Marine Living Resources Program, and the acoustic data are used to examine trends in krill biomass and to assess the potential impact of fishing to the reproductive success of land-based predators (seals and penguins). The time-series of recomputed biomass densities varies greatly from that computed using an empirical log-linear TS-model and fixed-ranges of differences in volume–backscattering strengths (ΔSv), conventionally used to identify krill acoustically. The new acoustic estimates of biomass are significantly correlated with both proportional recruitment and krill abundance estimated from zooplankton samples. Two distinct peaks in biomass (1996 and 2003) are in accord with recruitment events shown by net-based krill time-series. The foundation for the new TS-model and the associated krill-discrimination algorithm, coupled with the agreement between acoustic- and net-survey results, provides strong support for the use of the new analytical technique. Variable biases in the re-estimated krill biomass have been greatly reduced. However, survey variability increased as a result of the increased rejection of acoustic backscatter previously attributed to krill. Management of Southern Ocean krill stocks based on a precautionary approach may therefore result in decreased allocations of krill, given its dependence on the variability of survey estimates.",2008,https://doi.org/10.1093/icesjms/fsn033,article,NA,Christian S. Reiss; Anthony M. Cossio; Valerie J. Loeb; David A. Demer,Euphausia; Krill; Shetland; Antarctic krill; Biomass (ecology); Oceanography; Environmental science,Marine and fisheries research; Fish Ecology and Management Studies; Marine Bivalve and Aquaculture Studies,Global and Planetary Change; Nature and Landscape Conservation; Global and Planetary Change,NA,164,1
"Seasonal variability in the distribution of Antarctic krill, Euphausia superba, west of the Antarctic Peninsula",NA,1999,https://doi.org/10.1016/s0967-0637(98)00099-5,article,NA,Cathy M. Lascara; Eileen E. Hofmann; Robin M. Ross; Langdon B. Quetin,Euphausia; Krill; Antarctic krill; Biomass (ecology); Oceanography; Crustacean,Marine and fisheries research; Fish Ecology and Management Studies; Marine Bivalve and Aquaculture Studies,Global and Planetary Change; Nature and Landscape Conservation; Global and Planetary Change,NA,193,2
An 8-year cycle in krill biomass density inferred from acoustic surveys conducted in the vicinity of the South Shetland Islands during the austral summers of 1991–1992 through 2001–2002,"Data from single and multi-frequency active acoustic surveys conducted annually in the vicinity of the South Shetland Islands, Antarctica were re-analyzed using updated procedures for delineating volume backscattering due to Antarctic krill, adjusting for signal contamination due to noise, and compensating for diel vertical migration of krill outside of the acoustic observation window. Intra-and inter-seasonal variations in krill biomass density and dispersion were derived from the re-processed data set for surveys conducted in the austral summers of 1991/1992 through 2001/2002. Estimated biomass density ranged from 1 to 60 g m–2, decreasing from mid-range levels in 1991/1992 to a minimum in 1992/1993–1993/1994, increasing to a peak in 1996/1997–1997/1998, and decreasing again through 2000/2001–2001/2002. Although this variability may be attributed to changes in the spatial distribution of krill relative to the survey area, comparisons with the proportion of juvenile krill in simultaneous net samples suggest that the changes in biomass density are consistent with apparent changes in reproductive success. A truncated Fourier series fit to the biomass density time series is dominated by an 8-year cycle and predicts an increase in krill biomass density in 2002/2003 and 2003/2004. This prediction is supported by an apparent association between cycles in the extent of sea ice cover and per-capita krill recruitment over the last 23 years and indications that ice cover in the winter of 2002 is seasonally early and extensive.",2003,https://doi.org/10.1016/s0990-7440(03)00019-6,article,NA,R HEWITT,Krill; Euphausia; Biomass (ecology); Environmental science; Antarctic krill; Oceanography; Shetland; Diel vertical migration,Marine and fisheries research; Marine animal studies overview; Marine Bivalve and Aquaculture Studies,Global and Planetary Change; Ecology; Global and Planetary Change,NA,105,3
A Concept of Seasonal Variation of Krill (Euphausia superba) Distribution and Abundance West of the Antarctic Peninsula,NA,1988,https://doi.org/10.1007/978-3-642-73724-4_19,book-chapter,NA,Volker Siegel,Euphausia; Krill; Antarctic krill; Abundance (ecology); Peninsula; Oceanography; Crustacean; Seasonality,Marine and fisheries research; Fish Ecology and Management Studies; Marine Bivalve and Aquaculture Studies,Global and Planetary Change; Nature and Landscape Conservation; Global and Planetary Change,NA,173,4
LONG-TERM MONITORING OF KRILL RECRUITMENT AND ABUNDANCE INDICES IN THE ELEPHANT ISLAND AREA (ANTARCTIC PENINSULA),"Krill distribution and density are reviewed for the Elephant Island area with regard to the representativeness of the study area (60°-62030'S and 53-57'30'W) for proportional recruit and density indices. Proportional recruitment indices were re-calculated applying the delta distribution approach introduced by de la Mare (1994a). The high interannual variability of krill recruitment is confirmed by the present analysis. Results are compared for one- and two-year-old ]<rill (R, and R2 respectively). Statistically significant fluctuations in krill density over the period 1977 to 1994 are also confirmed by this study using randomisation tests on an analysis of variance. Resume",1997,NA,article,NA,V. Siege; Bundesforscllungsanstalt fur Fischerei; Channel Highway; Valerie J. Loeb,Krill; Peninsula; Abundance (ecology); Antarctic krill,Genetic and phenotypic traits in livestock; Marine and fisheries research; Fish Biology and Ecology Studies,Genetics; Global and Planetary Change; Aquatic Science,NA,42,5
"Interannual and between species comparison of the lipids, fatty acids and sterols of Antarctic krill from the US AMLR Elephant Island survey area",NA,2002,https://doi.org/10.1016/s1096-4959(02)00021-0,article,NA,Charles F. Phleger; Matthew M. Nelson; Ben D. Mooney; Peter D. Nichols,Euphausia; Antarctic krill; Docosahexaenoic acid; Eicosapentaenoic acid; Sterol; Krill; Food science; Fatty acid,Aquaculture Nutrition and Growth; Fatty Acid Research and Health; Antioxidant Activity and Oxidative Stress,Aquatic Science; Nutrition and Dietetics; Biochemistry,NA,131,6
Dispersion and abundance of Antarctic krill in the vicinity of Elephant Island in the 1992 austral summer,"Antarctic knll Euphausia superba distribution and abundance were estimated from 4 acoustic surveys conducted in the vicinity of Elephant Island.Antarctica, from mid-January to mid-March 1992.The first and last surveys covered a 105 by 105 n mile study area centered on Elephant Island; the second and third surveys covered a 60 by 35 n mile area immediately north of Elephant Island.During the first survey, krill were distributed in a wide band extending along the north side of Elephant Island and wrapping around the western end; biomass was estimated to be 2.2 million metric tons (t).During the second survey, the highest densities of krill were over the shelf extending to the northwest from Elephant Island and including the Seal Island archipelago; high densities of krill also extended off the shelf from the northeast end of Elephant Island Into deeper water.Biomass in the smaller survey area was estimated to be 0.7 million t.Three weeks later, high krill densities were still apparent in the vicinity of Seal Island, but the area of high density previously mapped off the northeast end of Elephant Island had diminished considerably; biomass was estimated to be 0.4 million t.During the final survey, conducted 6 wk after the first survey, krill were mapped in reduced densities primarily to the west of Elephant Island; biomass over the larger survey area had declined to 1.1 million t.",1993,https://doi.org/10.3354/meps099029,article,https://doi.org/10.3354/meps099029,R HEWITT; DA Demer,Krill; Antarctic krill; Oceanography; Abundance (ecology); Euphausia; Dispersion (optics),Marine and fisheries research; Marine animal studies overview; Fish Ecology and Management Studies,Global and Planetary Change; Ecology; Nature and Landscape Conservation,NA,87,7
Acoustic Characterization of Swarms of Antarctic Krill (Euphausia Superba) From Elephant Island and Bransfield Strait,Time series of acoustic observations with three frequencies were made on Antarctic krill (Euphausia superba) near Elephant Island and in Bransfield Strait. Local changes of biomass were ten-fold over 2-3 days. The total biomass in a very large swarm near Elephant Island was 2.1 million metric tons distributed over 450 km2. The abundance in the swarm was 200–-500 g/m3 over a vertical extent from 10-240 m. Smaller patches were 40-150 g/m3 and often associated with the 100-150 m bottom contour. Assessing the distribution and abundance of very large swarms presents problems beyond those of routine acoustic surveys.,1984,https://doi.org/10.1163/1937240x84x00480,article,NA,Michael C. Macaulay; T. Saunders English; Ole A. Mathisen,Euphausia; Krill; Antarctic krill; Biology; Biomass (ecology); Swarm behaviour; Oceanography; Euphausiacea; Abundance (ecology),Marine and fisheries research; Marine animal studies overview; Marine Bivalve and Aquaculture Studies,Global and Planetary Change; Ecology; Global and Planetary Change,NA,90,8
Spatial and temporal dynamics of the Antarctic krill fishery in fishing hotspots in the Bransfield Strait and South Shetland Islands,NA,2018,https://doi.org/10.1016/j.fishres.2018.07.020,article,NA,Francisco Santa Cruz; Billy Ernst; Javier A. Arata; Carolina Parada,Fishing; Krill; Fishery; Shetland; Antarctic krill; Oceanography; Spatial distribution; Spatial ecology; Peninsula,Marine and fisheries research; Marine animal studies overview; Marine Bivalve and Aquaculture Studies,Global and Planetary Change; Ecology; Global and Planetary Change,NA,58,9
Distribution and abundance of Antarctic krill (Euphausia superba) along the Antarctic Peninsula,NA,2013,https://doi.org/10.1016/j.dsr.2013.02.005,article,NA,Volker Siegel; Christian S. Reiss; Kimberly S. Dietrich; Matilda Haraldsson; Gerhard Rohardt,Krill; Euphausia; Antarctic krill; Bay; Oceanography; Fishery,Marine and fisheries research; Fish Ecology and Management Studies; Marine Bivalve and Aquaculture Studies,Global and Planetary Change; Nature and Landscape Conservation; Global and Planetary Change,NA,65,10
