title,abstract,publication_year,doi,type,oa_url,author,concept,topic,subfield,pdf_url,cited_by_count,id
"Reproductive Performance of Seabirds and Seals at South Georgia and Signy Island, South Orkney Islands, 1976–1987: Implications for Southern Ocean Monitoring Studies",NA,1988,https://doi.org/10.1007/978-3-642-73724-4_23,book-chapter,NA,John P. Croxall; T. McCann; P. A. Prince; P. Rothery,Albatross; Krill; Foraging; Population; Fishery; Geography; Fur seal,Marine animal studies overview; Avian ecology and behavior; Arctic and Antarctic ice dynamics,Ecology; Ecology; Atmospheric Science,NA,322,2
Responses of Pygoscelis adeliae and P. papua populations to environmental changes at Isla 25 de Mayo (King George Island),NA,2009,https://doi.org/10.1007/s00300-009-0637-y,article,https://ri.conicet.gov.ar/bitstream/11336/103353/2/CONICET_Digital_Nro.5d5b0c38-f9b5-4502-9095-be40d5f17388_A.pdf,Alejandro R Carlini; Néstor Coria; M. Mercedes Santos; Javier Negrete; Mariana A. Juáres; G. A. Daneri,Biology; Pygoscelis; Juvenile; Population; Ecology; Zoology,Avian ecology and behavior; Marine and coastal plant biology; Polar Research and Ecology,Ecology; Oceanography; Ecology,NA,66,4
Inter-annual variability in Chinstrap penguin diet at South Shetland and South Orkneys Islands,NA,2009,https://doi.org/10.1007/s00300-009-0757-4,article,https://ri.conicet.gov.ar/bitstream/11336/53667/2/CONICET_Digital_Nro.88856132-ba8a-4530-b5d7-3aa48069f99a_A.pdf,Emilce Rombolá; Enrique R. Marschoff; Néstor Coria,Shetland; Euphausia; Krill; Pygoscelis; Biology; Euphausiacea; Antarctic krill; Predation,Marine and fisheries research; Fish Ecology and Management Studies; Avian ecology and behavior,Global and Planetary Change; Nature and Landscape Conservation; Ecology,NA,18,13
"First direct, site-wide penguin survey at Deception Island, Antarctica, suggests significant declines in breeding chinstrap penguins",NA,2012,https://doi.org/10.1007/s00300-012-1230-3,article,NA,Ron Naveen; Heather J. Lynch; Steven C. Forrest; Thomas Mueller; Michael J. Polito,Pygoscelis; Population; Biology; Ecology,Avian ecology and behavior; Polar Research and Ecology; Species Distribution and Climate Change,Ecology; Ecology; Ecological Modeling,NA,55,14
"Study of fauna population changes on Penguin Island and Turret Point Oasis (King George Island, Antarctica) using an unmanned aerial vehicle","An unmanned aerial vehicle (UAV) as an alternative to manned aircrafts is an excellent, less invasive, safe tool, especially in sensitive polar regions. Here we used a fixed-wing UAV to collect data on seabird and pinniped populations in hardly accessible Antarctic areas. The implementation of an auto-piloted UAV equipped with a digital camera (Canon EOS 700D, 35 mm f/2.0 lens) allowed us to collect high-quality material applicable to a quantitative analysis of the fauna populations. A successful photogrammetric mission, at an altitude of 550 m above sea level, was accomplished during one Beyond Visual Line of Sight flight above hard-to-access Penguin Island and Turret Point Oasis (King George Island). Obtained selected RGB images were processed to generate a panoramic image stitch with resolution of 0.07 m ground sampling distance. A total of 4290 (SD = 33.08) breeding individuals of two penguin species, Adélie (Pygoscelis adeliae) and chinstrap (Pygoscelis antarcticus), 426 (SD = 7.78) individuals of the southern elephant seal (Mirounga leonina) and 6 individuals of the Weddell seal (Leptonychotes weddellii) were identified in both study areas. Additionally, 222 (SD = 2.0) individuals of the southern giant petrel (Macronectes giganteus) and 76 (SD = 1.0) of the Antarctic shag (Phalacrocorax atriceps bransfieldensis) in the Turret Point area were recognized. The presented observations on the natural history of the investigated fauna together with the available literature may be useful in future research on population trends. A comparison with available historical data for both investigated areas suggests a decrease of 68.29% in both penguin species in the 1980–2016 period. The presented results confirmed that UAVs are useful for remote census work for Antarctic seabirds.",2018,https://doi.org/10.1007/s00300-018-2379-1,article,https://link.springer.com/content/pdf/10.1007/s00300-018-2379-1.pdf,Małgorzata Korczak−Abshire; Anna Zmarz; Mirosław Rodzewicz; Marlena Kycko; Izabela Karsznia; Katarzyna J. Chwedorzewska,Pygoscelis; Population; Biology,Marine animal studies overview; Avian ecology and behavior; Polar Research and Ecology,Ecology; Ecology; Ecology,https://link.springer.com/content/pdf/10.1007/s00300-018-2379-1.pdf,42,15
"Antarctic Fur Seals (&lt;I&gt;Arctocephalus gazella&lt;/I&gt;) Observed Predating Adélie (&lt;I&gt;Pygoscelis adeliae&lt;/I&gt;) and Chinstrap Penguins (&lt;I&gt;P. antarctica&lt;/I&gt;), Antarctic Peninsula",NA,2008,https://doi.org/10.1578/am.34.2.2008.193,article,NA,Ingrid N. Visser; Matt P. Drennan; Richard W. White; S. F. MacLean; Lisa C. Lagerstrom; John Francis,Pygoscelis,Marine animal studies overview; Polar Research and Ecology; Arctic and Antarctic ice dynamics,Ecology; Ecology; Atmospheric Science,NA,15,22
A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula,NA,2015,https://doi.org/10.1007/s00300-015-1651-x,article,NA,Paula Casanovas; Ron Naveen; Steve Forrest; Jérôme Poncet; Heather J. Lynch,Bay; Seabird; Oceanography; Peninsula; Pygoscelis; Sea ice; Population,Marine animal studies overview; Polar Research and Ecology; Arctic and Antarctic ice dynamics,Ecology; Ecology; Atmospheric Science,NA,31,24
Monitoring of the dynamic and spatial distribution of antarctic seabird populations in the south shetland islands,NA,2010,https://doi.org/10.4322/apa.2014.005,article,https://doi.org/10.4322/apa.2014.005,Maria Virgı́nia Petry; Lucas Krünger,Shetland; Seabird; Oceanography; Geography,Marine animal studies overview; Cryospheric studies and observations; Avian ecology and behavior,Ecology; Atmospheric Science; Ecology,NA,2,42
"Occurrence of Legacy and New Persistent Organic Pollutants in Avian Tissues from King George Island, Antarctica","Legacy and new persistent organic pollutants (POPs), including polychlorinated naphthalenes (PCNs), Dechlorane Plus (DPs) and related compounds (Dechloranes), hexabromocyclododecanes (HBCDs), polychlorinated biphenyls (PCBs), and organochlorine pesticides (OCPs), were analyzed in avian tissue samples from King George Island, Antarctica. The avian species consisted of the Gentoo penguin (Pygoscelis papua), the Adelie penguin (Pygoscelis adeliae), the South polar skua (Stercorarius maccormicki), and the Brown skua (Stercorarius antarcticus). HBCDs were detected in all samples and ranged from 1.67–713 pg/g-lipid. In the penguin samples, the concentrations of PCNs ranged from 0.69–2.07 ng/g-lipid, whereas those in the skua samples ranged from 7.41–175 ng/g-lipid. The levels of Dechloranes ranged from 0.60–1.30 ng/g-lipid in the penguin samples and from 6.57–47.4 ng/g-lipid in the skua samples. The concentrations and congener distributions of OCPs and PCBs were similar to the results of previous reports. The three new POPs were detected in all samples, and this study was one of the first reports on the occurrence of these pollutants in the Antarctic biota. Because Antarctica is one of the most pristine places on Earth, the detection of new POPs in the Antarctic birds, especially penguins, is direct evidence of the long-range transport of pollutants. Furthermore, the concentration ratios of the penguin to the skua samples (BMFs-p) were greater than 1 in most legacy and new POPs, and the BMFs-p values of the new POPs were comparable to those of some OCPs, suggesting a possibility of biomagnification. Despite the small sample size, the results of this study identified POP contamination of the Antarctic avian species and long-range transport and biomagnification of HBCDs, Dechloranes, and PCNs.",2015,https://doi.org/10.1021/acs.est.5b03181,article,NA,Jun-Tae Kim; Min-Hui Son; Jung‐Ho Kang; Jeong‐Hoon Kim; Jin-Woo Jung; Yoon‐Seok Chang,Pygoscelis; Pollutant; Congener; Persistent organic pollutant; Biota; Environmental chemistry,Toxic Organic Pollutants Impact; Effects and risks of endocrine disrupting chemicals; Environmental Toxicology and Ecotoxicology,"Health, Toxicology and Mutagenesis; Health, Toxicology and Mutagenesis; Health, Toxicology and Mutagenesis",NA,45,76
Pingu virus: A new picornavirus in penguins from Antarctica,"Abstract Picornaviridae family comprises single-stranded, positive-sense RNA viruses distributed into forty-seven genera. Picornaviruses have a broad host range and geographic distribution in all continents. In this study, we applied a high-throughput sequencing approach to examine the presence of picornaviruses in penguins from King George Island, Antarctica. We discovered and characterized a novel picornavirus from cloacal swab samples of gentoo penguins (Pygoscelis papua), which we tentatively named Pingu virus. Also, using RT-PCR we detected this virus in 12.9 per cent of cloacal swabs derived from P. papua, but not in samples from adélie penguins (Pygoscelis adeliae) or chinstrap penguins (Pygoscelis antarcticus). Attempts to isolate the virus in a chicken cell line and in embryonated chicken eggs were unsuccessful. Our results expand the viral diversity, host range, and geographical distribution of the Picornaviridae.",2019,https://doi.org/10.1093/ve/vez047,article,https://watermark.silverchair.com/vez047.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAApgwggKUBgkqhkiG9w0BBwagggKFMIICgQIBADCCAnoGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM9ARvfPnTNtANbzqeAgEQgIICS8bHq4EQqeaiAQ19zS3fJH-FuUCWaU-H3-Zad9Q_tOhRdVkmvRBIAlcVY2eHlWDEFScxHBxuMNblX-I4vlMYaRTs5M5-ZEtsCU6hgY8Z9BOD7u7pVr-Cze52TNeTILq1_pQOC5UdaJIKvvs2BqQkJVxQ3E01JkBSf_-t_jH1qQkC0aPmlLYtRt4xuuzjj-0rgiVKqSZaHafMp81wcECCOHejhhPbxkoI-t-KujwYpx03NWV9ayrHEElgukoRhpeec2STDoGUFnboRdmeT9RO4CO8J6KnMdV5p2qx1TmD1R6nlJsgBvVnr1BXisGfJvKq8kmM9Ul6XxtS8Lm2basQERNK9ndgkXIOY25cvV5zbZXi-e3rFA5Pf20f_j_z-rDHeusNGFLwOiRTt0tDwYooWm4__C99b4zahTVX_q39taG-MXCG6dni4qsS3U67_qz1QaEMBe7B6568HOKu6gn_15tENT_WC1iYNQEg-taj14kAzUtKAg218_viTleAVNV7Mo_3v6EikURCDJq5wxZiy0u1D6WbyoqnENlrKsdluhV4i8NvnEkeO9uH2R5RUuZuD_5qkBHM9esadYdCs3au2Vh6w7Ak6hEKerAtPxcVUBHKWWGTSqHzsjaEdyIBJIlSndRSYQKk_0w6KwNpdolx8aFYlefHLkP8Sm99FwjMibpAoo58WqBsJ806ItIPqLnhDshsx1L86pkKQOq0hQjTdRcFVw8bTf1QQgQLmxDRACKh7MpW4rUhlTBV9_0mKbhtr80hoTfkLt6k-SBc,William Marciel de Souza; Marcílio Jorge Fumagalli; Matheus Cavalheiro Martini; Jansen de Araújo; Maria Ângela Orsi; Luiz Francisco Sanfilippo; Sejal Modha; Edison Luíz Durigon; José Luiz Proença‐Módena; Clarice Weis Arns; Pablo R. Murcia; Luiz Tadeu Moraes Figueiredo,Picornavirus; Pygoscelis; Biology; Embryonated; Zoology,Plant Virus Research Studies; Animal Virus Infections Studies; Viral Infections and Immunology Research,Plant Science; Animal Science and Zoology; Cardiology and Cardiovascular Medicine,https://watermark.silverchair.com/vez047.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAApgwggKUBgkqhkiG9w0BBwagggKFMIICgQIBADCCAnoGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM9ARvfPnTNtANbzqeAgEQgIICS8bHq4EQqeaiAQ19zS3fJH-FuUCWaU-H3-Zad9Q_tOhRdVkmvRBIAlcVY2eHlWDEFScxHBxuMNblX-I4vlMYaRTs5M5-ZEtsCU6hgY8Z9BOD7u7pVr-Cze52TNeTILq1_pQOC5UdaJIKvvs2BqQkJVxQ3E01JkBSf_-t_jH1qQkC0aPmlLYtRt4xuuzjj-0rgiVKqSZaHafMp81wcECCOHejhhPbxkoI-t-KujwYpx03NWV9ayrHEElgukoRhpeec2STDoGUFnboRdmeT9RO4CO8J6KnMdV5p2qx1TmD1R6nlJsgBvVnr1BXisGfJvKq8kmM9Ul6XxtS8Lm2basQERNK9ndgkXIOY25cvV5zbZXi-e3rFA5Pf20f_j_z-rDHeusNGFLwOiRTt0tDwYooWm4__C99b4zahTVX_q39taG-MXCG6dni4qsS3U67_qz1QaEMBe7B6568HOKu6gn_15tENT_WC1iYNQEg-taj14kAzUtKAg218_viTleAVNV7Mo_3v6EikURCDJq5wxZiy0u1D6WbyoqnENlrKsdluhV4i8NvnEkeO9uH2R5RUuZuD_5qkBHM9esadYdCs3au2Vh6w7Ak6hEKerAtPxcVUBHKWWGTSqHzsjaEdyIBJIlSndRSYQKk_0w6KwNpdolx8aFYlefHLkP8Sm99FwjMibpAoo58WqBsJ806ItIPqLnhDshsx1L86pkKQOq0hQjTdRcFVw8bTf1QQgQLmxDRACKh7MpW4rUhlTBV9_0mKbhtr80hoTfkLt6k-SBc,7,104
